State,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,,,
Alabama,64010,49936,50865,51113,47221,44509,42278,47320,41381,43464,,,
Alaska,89290,68734,77987,72231,75723,75112,67629,72472,61137,63648,,,
Arizona,80500,62283,59700,61125,57100,52248,49254,52611,50602,47044,,,
Arkansas,62120,49781,49751,48829,45907,42798,44922,39376,39919,39018,,,
California,88960,70489,70038,69759,66637,63636,60487,60794,57528,57020,,,
Colorado,82580,73034,74984,74172,70566,66596,60940,67912,63371,57255,,,
Connecticut,99420,72812,74304,72780,75923,72889,70161,69291,67781,64247,,,
Delaware,84510,65012,64961,62318,58046,57756,57522,54091,52219,48972,,,
D.C.,106100,85750,81282,83382,70982,70071,68277,60057,60675,65246,,,
Florida,66480,54644,53086,53681,51176,48825,46140,48532,47886,46071,,,
Georgia,64500,55821,57985,57016,53527,50768,49555,46992,47439,48121,,,
Hawaii,100200,80108,73599,73575,72133,64514,71223,64235,61408,56263,,,
Idaho,75160,58728,59497,60208,56564,51624,53438,48467,51767,47922,,,
Illinois,84740,70145,65969,64609,61386,60413,54916,53937,57196,51738,,,
Indiana,75960,59892,58767,58873,56094,51983,48060,49455,50553,46158,,,
Iowa,75240,68718,63467,63481,59094,60855,57810,60156,54855,53442,,,
Kansas,83320,63938,56900,57872,56810,54865,53444,47820,51485,50003,,,
Kentucky,63400,54555,49672,51348,45369,42387,42786,44879,42158,41086,,,
Louisiana,58890,49973,43565,43903,42196,45922,42406,46425,39622,39085,,,
Maine,75800,58663,53316,51664,50856,50756,51710,54957,50121,49158,,,
Maryland,108900,86223,82093,81084,73760,73594,76165,69353,65262,71836,,,
Massachusetts,99900,86345,76243,73227,72266,67861,63151,62529,62963,63656,,,
Michigan,73030,60449,56405,57700,57091,54203,52005,56567,48801,50015,,,
Minnesota,92740,71817,69975,71920,70218,68730,67244,64324,60907,61795,,,
Mississippi,51010,42781,43281,43441,41099,40037,35521,32338,40850,36641,,,
Missouri,69020,61726,56530,56885,55016,59196,56630,46303,50311,49764,,,
Montana,68560,57679,57407,59087,57075,51395,51102,43201,44132,45088,,,
Nebraska,83230,67575,59583,59619,59374,60474,56870,57623,53774,52196,,,
Nevada,80760,61864,58041,56550,55431,52008,49875,51846,45369,47333,,,
New Hampshire,98980,81346,75630,74801,76260,75675,73397,69099,71322,67819,,,
New Jersey,99920,74176,71240,72997,68468,68357,65243,63754,61782,66692,,,
New Mexico,60500,48283,45601,47855,48451,45119,46686,40166,42127,43424,,,
New York,81840,67274,61543,62447,61437,58005,54310,49966,53843,47680,,,
North Carolina,69660,53369,49547,50343,53764,50797,46784,46337,41208,41553,,,
North Dakota,79760,66505,60167,59886,60184,57415,60730,59152,52888,55766,,,
Ohio,73650,61633,60688,59768,53985,53301,49644,50748,46398,44375,,,
Oklahoma,67650,54434,51882,55006,50943,47077,47199,46162,43777,48407,,,
Oregon,84760,69165,62498,64610,59135,60834,58875,48999,56307,51775,,,
Pennsylvania,80390,64524,61285,63173,60979,60389,55173,55156,53952,51904,,,
Rhode Island,79900,62266,65401,66390,61528,55701,58633,56323,57812,56065,,,
South Carolina,70650,57444,54537,54971,54336,46360,44929,43563,43749,44401,,,
South Dakota,73190,59463,56914,56894,57450,55065,53053,53413,54453,49415,,,
Tennessee,64500,56060,55306,55240,51344,47330,43716,43361,42499,42995,,,
Texas,76820,59785,60092,59295,58146,56473,53875,51406,53027,51926,,,
Utah,96270,77067,69789,71319,67481,66258,63383,61047,62967,58341,,,
Vermont,84630,70066,63682,63805,60837,59494,60708,65513,54842,55582,,,
Virginia,92610,77151,70811,71293,66451,61486,66155,65907,67620,64632,,,
Washington,93910,79726,71540,75418,70310,67243,59068,63922,60106,62187,,,
West Virginia,61170,50573,46957,45392,44354,42824,39552,43069,40241,43553,,,
Wisconsin,76720,62629,63482,63451,59817,55425,58080,51726,55258,53079,,,
Wyoming,74190,62539,59536,57837,57829,60925,55690,67441,55700,57512,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,