State,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Alabama,64010,49936,52105,52359,49412,47175,44888,51092,44679,47624
Alaska,89290,68734,79888,73992,79237,79611,71804,78249,66010,69739
Arizona,80500,62283,61155,62615,59750,55378,52294,56805,54635,51546
Arkansas,62120,49781,50964,50019,48037,45362,47695,42515,43101,42752
California,88960,70489,71745,71459,69729,67448,64221,65640,62113,62477
Colorado,82580,73034,76812,75980,73841,70585,64702,73325,68422,62735
Connecticut,99420,72812,76115,74554,79446,77255,74492,74814,73184,70396
Delaware,84510,65012,66545,63837,60740,61216,61073,58402,56381,53659
D.C.,106100,85750,83263,85415,74276,74268,72492,64844,65511,71490
Florida,66480,54644,54380,54990,53551,51750,48988,52400,51703,50480
Georgia,64500,55821,59398,58406,56011,53809,52614,50738,51220,52726
Hawaii,100200,80108,75393,75369,75480,68379,75619,69355,66303,61648
Idaho,75160,58728,60947,61676,59189,54716,56737,52330,55893,52508
Illinois,84740,70145,67577,66184,64235,64032,58306,58236,61755,56690
Indiana,75960,59892,60200,60308,58697,55097,51027,53397,54582,50575
Iowa,75240,68718,65014,65028,61836,64500,61379,64951,59227,58557
Kansas,83320,63938,58287,59283,59446,58152,56743,51632,55589,54788
Kentucky,63400,54555,50883,52600,47474,44926,45427,48456,45518,45018
Louisiana,58890,49973,44627,44973,44154,48673,45024,50125,42780,42826
Maine,75800,58663,54616,52923,53216,53796,54902,59338,54116,53863
Maryland,108900,86223,84094,83061,77183,78002,80867,74881,70464,78711
Massachusetts,99900,86345,78102,75012,75620,71926,67049,67513,67982,69748
Michigan,73030,60449,57780,59107,59740,57450,55215,61076,52691,54802
Minnesota,92740,71817,71681,73673,73477,72847,71395,69451,65762,67709
Mississippi,51010,42781,44336,44500,43006,42435,37714,34916,44106,40148
Missouri,69020,61726,57908,58272,57569,62742,60126,49994,54321,54527
Montana,68560,57679,58806,60527,59724,54474,54256,46644,47650,49403
Nebraska,83230,67575,61035,61072,62129,64097,60380,62216,58060,57191
Nevada,80760,61864,59456,57929,58003,55123,52954,55979,48985,51863
New Hampshire,98980,81346,77474,76624,79799,80208,77928,74607,77007,74310
New Jersey,99920,74176,72977,74776,71645,72452,69270,68836,66707,73075
New Mexico,60500,48283,46713,49022,50699,47822,49568,43368,45485,47580
New York,81840,67274,63043,63969,64288,61480,57662,53949,58135,52243
North Carolina,69660,53369,50755,51570,56259,53840,49672,50030,44493,45530
North Dakota,79760,66505,61634,61346,62977,60854,64479,63867,57104,61103
Ohio,73650,61633,62167,61225,56490,56494,52708,54793,50096,48622
Oklahoma,67650,54434,53147,56347,53307,49897,50113,49841,47266,53040
Oregon,84760,69165,64021,66185,61879,64478,62509,52905,60795,56730
Pennsylvania,80390,64524,62779,64713,63809,64006,58579,59552,58252,56871
Rhode Island,79900,62266,66995,68008,64383,59038,62252,60812,62420,61431
South Carolina,70650,57444,55866,56311,56858,49137,47702,47035,47236,48650
South Dakota,73190,59463,58301,58281,60116,58364,56328,57670,58793,54144
Tennessee,64500,56060,56654,56587,53727,50165,46415,46817,45887,47110
Texas,76820,59785,61557,60740,60844,59856,57201,55503,57254,56896
Utah,96270,77067,71490,73058,70613,70227,67296,65913,67986,63924
Vermont,84630,70066,65234,65360,63660,63058,64455,70735,59213,60901
Virginia,92610,77151,72537,73031,69535,65169,70239,71160,73010,70818
Washington,93910,79726,73284,77256,73573,71271,62714,69017,64897,68139
West Virginia,61170,50573,48102,46499,46412,45389,41993,46502,43449,47721
Wisconsin,76720,62629,65029,64998,62593,58745,61665,55849,59663,58159
Wyoming,74190,62539,60987,59247,60513,64575,59128,72817,60140,63016