NAME,ESTIMATESBASE2020,POPESTIMATE2022
United States,331449520,333287557
Northeast Region,57609156,57040406
New England,15116206,15129548
Middle Atlantic,42492950,41910858
Midwest Region,68985537,68787595
East North Central,47368637,47097779
West North Central,21616900,21689816
South Region,126266262,128716192
South Atlantic,66089861,67452940
East South Central,19402323,19578002
West South Central,40774078,41685250
West Region,78588565,78743364
Mountain,24919131,25514320
Pacific,53669434,53229044
Alabama,5024356,5074296
Alaska,733378,733583
Arizona,7151507,7359197
Arkansas,3011555,3045637
California,39538245,39029342
Colorado,5773733,5839926
Connecticut,3605942,3626205
Delaware,989957,1018396
District of Columbia,689546,671803
Florida,21538226,22244823
Georgia,10711937,10912876
Hawaii,1455273,1440196
Idaho,1839092,1939033
Illinois,12812545,12582032
Indiana,6785668,6833037
Iowa,3190372,3200517
Kansas,2937847,2937150
Kentucky,4505893,4512310
Louisiana,4657749,4590241
Maine,1362341,1385340
Maryland,6177213,6164660
Massachusetts,7029949,6981974
Michigan,10077325,10034113
Minnesota,5706504,5717184
Mississippi,2961288,2940057
Missouri,6154920,6177957
Montana,1084197,1122867
Nebraska,1961489,1967923
Nevada,3104624,3177772
New Hampshire,1377518,1395231
New Jersey,9289031,9261699
New Mexico,2117527,2113344
New York,20201230,19677151
North Carolina,10439414,10698973
North Dakota,779091,779261
Ohio,11799374,11756058
Oklahoma,3959346,4019800
Oregon,4237291,4240137
Pennsylvania,13002689,12972008
Rhode Island,1097371,1093734
South Carolina,5118429,5282634
South Dakota,886677,909824
Tennessee,6910786,7051339
Texas,29145428,30029572
Utah,3271614,3380800
Vermont,643085,647064
Virginia,8631384,8683619
Washington,7705247,7785786
West Virginia,1793755,1775156
Wisconsin,5893725,5892539
Wyoming,576837,581381
Puerto Rico,3285874,3221789